Name, Id
African,0
AfternoonTea,1
AllYouCanEat,2
American,3
Arabic,4
Argentinian,5
Asian,6
AsianFusion,7
AussieBbq,8
Bakery,9
Balinese,10
BalticStates,11
Banquet,12
BbqAndGrill,13
Bistro,14
Bosnian,15
Brazilian,16
British,17
Brunch,18
Buffet,19
BurgerJoint,20
Byo,21
Cafe,22
Cajun,23
Cantonese,24
Caribbean,25
ChildFriendly,26
Chilean,27
Chinese,28
Contemporary,29
Continental,30
Creole,31
Cuban,32
Danish,33
Deli,34
Dessert,35
Diner,36
EasternEuropean,37
European,38
Filipino,39
FineDining,40
Fish,41
Fondue,42
French,43
FreshSalads,44
GastroPub,45
German,46
Greek,47
Halal,48
HighTea,49
Indian,50
Indonesian,51
International,52
Irish,53
Italian,54
Japanese,55
Korean,56
Lebanese,57
LocallySourced,58
Locavore,59
Malaysian,60
Maltese,61
Mediterranean,62
Mexican,63
MichelinStar,64
MiddleEastern,65
ModernAsian,66
ModernAustralian,67
ModernNewZealand,68
Moroccan,69
Nepalese,70
Norwegian,71
PanAsian,72
Pasta,73
PianoBar,74
Pizza,75
Punjabi,76
RawFood,77
Romantic,78
Salads,79
Scandinavian,80
Scottish,81
Seafood,82
SetMenu,83
Sicilian,84
Singaporean,85
SlowFood,86
SmallPlates,87
Smokehouse,88
SouthAmerican,89
SouthEastAsian,90
Spanish,91
Steak,92
StreetFoodStyle,93
SundayLunch,94
Sushi,95
Tapas,96
Tearoom,97
Thai,98
Tibetan,99
Turkish,100
Vegan,101
Vegetarian,102
Vietnamese,103
ModernIndonesian,104
ModernBalinese,105
FoodSafari,106
Levantine,107
Peruvian,108
ModernPeruvian,109
AmericanFusion,110
Persian,111
LatinAmerican,112
